write_date,article_id,subject,carrier,7GB_new,7GB_mnp,11GB_new,11GB_mnp,status,local_path
2025-01-01 12:35:01,256,케이엘모바일_부성정책_ 1월  1일_ 1차 정책,hello,30000,200000,30000,70000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/256/hello.jpg
2025-01-01 12:35:01,256,케이엘모바일_부성정책_ 1월  1일_ 1차 정책,ktm,40000,130000,40000,110000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/256/ktm.jpg
2025-01-01 12:35:01,256,케이엘모바일_부성정책_ 1월  1일_ 1차 정책,sk7,20000,150000,20000,170000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/256/sk7.jpg
2025-01-01 12:35:01,256,케이엘모바일_부성정책_ 1월  1일_ 1차 정책,umobile,22000,153000,22000,175000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/256/umobile.jpg
2025-01-02 12:02:37,257,케이엘모바일_부성정책_ 1월 2일_ 1-1차 정책,hello,30000,200000,30000,70000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/257/hello.jpg
2025-01-02 12:02:37,257,케이엘모바일_부성정책_ 1월 2일_ 1-1차 정책,skylife,45000,160000,45000,185000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/257/skylife.jpg
2025-01-02 12:02:37,257,케이엘모바일_부성정책_ 1월 2일_ 1-1차 정책,umobile,44000,153000,44000,175000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/257/umobile.jpg
2025-01-03 10:26:37,258,케이엘모바일_부성정책_ 1월 3일_ 1-2차 정책,hello,30000,30000,30000,70000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/258/hello.jpg
2025-01-03 10:26:37,258,케이엘모바일_부성정책_ 1월 3일_ 1-2차 정책,skylife,45000,160000,45000,185000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/258/skylife.jpg
2025-01-03 10:26:37,258,케이엘모바일_부성정책_ 1월 3일_ 1-2차 정책,umobile,44000,153000,44000,175000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/258/umobile.jpg
2025-01-07 10:38:13,260,케이엘모바일_부성정책_ 1월 7일_ 2차 정책_KTM수정,hello,30000,30000,30000,70000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/260/hello.jpg
2025-01-07 10:38:13,260,케이엘모바일_부성정책_ 1월 7일_ 2차 정책_KTM수정,ktm,,,120000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/260/ktm.jpg
