priority,write_date,article_id,subject,carrier,plan_bucket,plan_name,new_amount,mnp_amount,status,source_text
medium,2025-01-02 12:02:37,257,케이엘모바일_부성정책_ 1월 2일_ 1-1차 정책,hello,7GB,auto_candidate,30000,200000,needs_review,"DATA 걱 정 없는 유심 768 | 45,100 | 27,600 | 17,500 | 무제한 | SMG) 300% | 708 ‘Mbps 30,000 | 200,000 | 30,000 | 180,000"
high,2025-01-03 10:26:37,258,케이엘모바일_부성정책_ 1월 3일_ 1-2차 정책,hello,7GB,auto_candidate,30000,30000,needs_review,"DATA 걱 정 없는 유심 768 45,100 | 27,600 | 17,500 | 무제한 | 무제한 | 300% 768 ‘Mbps 30,000 30,000"
high,2025-01-07 10:38:13,260,케이엘모바일_부성정책_ 1월 7일_ 2차 정책_KTM수정,hello,7GB,auto_candidate,30000,30000,needs_review,"DATA 걱 정 없는 유심 768 45,100 | 27,600 | 17,500 | 무제한 | 무제한 | 300% 768 ‘Mbps 30,000 30,000"
medium,2025-01-07 10:38:13,260,케이엘모바일_부성정책_ 1월 7일_ 2차 정책_KTM수정,ktm,11GB,auto_candidate,120000,140000,needs_review,"2008 보 프 리 미 원 1168 44900 eae | Fae nics+aizcs| saps | 40000 | 120,000 | 140000 | 40000 | 100.000 | 120,00"
high,2025-01-07 10:38:13,260,케이엘모바일_부성정책_ 1월 7일_ 2차 정책_KTM수정,umobile,11GB,auto_candidate,44000,44000,needs_review,"LTE 4514 스페셜 33,900 무제한 무제한 | 300 분 | 1168+ 일 268 | aMbps | 44,000 44,000"
high,2025-01-08 10:11:24,261,케이엘모바일_부성정책_ 1월 8일_ 2-1차 정책,hello,7GB,auto_candidate,30000,30000,needs_review,"DATA 걱 정 없는 유심 768 | 45,100 | 27,600 | 17,500 | 무제한 | 무제한 | 300% | 708 ‘Mbps 30,000 30,000"
medium,2025-01-08 10:11:24,261,케이엘모바일_부성정책_ 1월 8일_ 2-1차 정책,ktm,11GB,auto_candidate,120000,140000,needs_review,"2008 보 프 리 미 원 1168 44900 eae | Fae nics+aizcs| saps | 40000 | 120,000 | 140000 | 40000 | 100.000 | 120,00"
high,2025-01-08 10:11:24,261,케이엘모바일_부성정책_ 1월 8일_ 2-1차 정책,umobile,11GB,auto_candidate,44000,44000,needs_review,"LTE 4514 스페셜 33,900 무제한 무제한 | 300 분 | 1168+ 일 268 | aMbps | 44,000 44,000"
high,2025-01-09 10:21:02,262,케이엘모바일_부성정책_ 1월 9일_ 2-2차 정책,hello,7GB,auto_candidate,30000,30000,needs_review,"DATA 걱 정 없는 유심 768 | 45,100 | 27,600 | 17,500 | 무제한 | 무제한 | 300% | 708 ‘Mbps 30,000 30,000"
medium,2025-01-09 10:21:02,262,케이엘모바일_부성정책_ 1월 9일_ 2-2차 정책,ktm,11GB,auto_candidate,120000,140000,needs_review,"2008 보 프 리 미 원 1168 44900 eae | Fae nics+aizcs| saps | 40000 | 120,000 | 140000 | 40000 | 100.000 | 120,00"
