article_id,carrier,plan_bucket,plan_name,new_amount,mnp_amount,memo
256,hello,7GB,manual_image_confirmed,30000,200000,2025-01-01 image: DATA 걱정없는 유심 7GB 내국인 010신규/MNP
256,hello,11GB,manual_image_confirmed,30000,70000,2025-01-01 image: THE 착한 데이터 유심 11GB 내국인 010신규/MNP
256,ktm,7GB,manual_image_confirmed,40000,130000,2025-01-01 image: M 스페셜 7GB 내국인 010신규/MNP
256,ktm,11GB,manual_image_confirmed,40000,110000,2025-01-01 image: M 프리미엄 11GB 내국인 010신규/MNP
256,sk7,7GB,manual_image_confirmed,20000,150000,2025-01-01 image: LTE 알뜰 7GB 내국인 010신규/MNP
256,sk7,11GB,manual_image_confirmed,20000,170000,2025-01-01 image: LTE 알뜰 11GB+ 내국인 010신규/MNP
256,umobile,7GB,manual_image_confirmed,22000,153000,2025-01-01 image: LTE USIM 7GB+ 내국인 010신규/MNP
256,umobile,11GB,manual_image_confirmed,22000,175000,2025-01-01 image: LTE USIM 스페셜 11GB+일2GB 내국인 010신규/MNP
257,umobile,7GB,manual_image_confirmed,44000,153000,2025-01-02 image: LTE USIM 7GB+ 내국인 010신규/MNP
257,umobile,11GB,manual_image_confirmed,44000,175000,2025-01-02 image: LTE USIM 스페셜 11GB+일2GB 내국인 010신규/MNP
258,umobile,7GB,manual_image_confirmed,44000,153000,2025-01-03 image: LTE USIM 7GB+ 내국인 010신규/MNP
258,umobile,11GB,manual_image_confirmed,44000,175000,2025-01-03 image: LTE USIM 스페셜 11GB+일2GB 내국인 010신규/MNP
264,sk7,7GB,manual_image_confirmed,50000,110000,2025-01-17 2-4차 image: LTE 알뜰 7GB 내국인 010신규/MNP
264,sk7,11GB,manual_image_confirmed,50000,150000,2025-01-17 2-4차 image: LTE 알뜰 11GB+ 내국인 010신규/MNP
265,hello,7GB,manual_image_confirmed,30000,120000,2025-01-17 2-5차 image: DATA 걱정없는 유심 7GB 내국인 010신규/MNP
265,hello,11GB,manual_image_confirmed,30000,70000,2025-01-17 2-5차 image: THE 착한 데이터 유심 11GB 내국인 010신규/MNP
265,sk7,7GB,manual_image_confirmed,50000,110000,2025-01-17 2-5차 image: LTE 알뜰 7GB 내국인 010신규/MNP
265,sk7,11GB,manual_image_confirmed,50000,150000,2025-01-17 2-5차 image: LTE 알뜰 11GB+ 내국인 010신규/MNP
265,umobile,7GB,manual_image_confirmed,44000,132000,2025-01-17 2-5차 image: LTE USIM 7GB+ 내국인 010신규/MNP
265,umobile,11GB,manual_image_confirmed,44000,154000,2025-01-17 2-5차 image: LTE USIM 스페셜 11GB+일2GB 내국인 010신규/MNP
266,sk7,7GB,manual_image_confirmed,50000,110000,2025-01-17 2-6차 image: LTE 알뜰 7GB 내국인 010신규/MNP
