article_id,carrier,plan_bucket,plan_name,new_amount,mnp_amount,memo,write_date,subject,source_text,local_path
256,hello,11GB,auto_candidate,30000,70000,,2025-01-01 12:35:01,케이엘모바일_부성정책_ 1월  1일_ 1차 정책,"THE 착한 데이터 유심 11GB | 49,390 | 15,400 | 33,990 | 무제한 | 무제한 | 300% | 1168 | 2GB+3Mbps | 30,000 | 70,000 | 30,000 | 70,000",/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/256/hello.jpg
256,hello,7GB,auto_candidate,30000,200000,,2025-01-01 12:35:01,케이엘모바일_부성정책_ 1월  1일_ 1차 정책,"DATA 걱 정 없는 유심 768 | 45,100 | 27,600 | 17,500 | 무제한 | SMG) 300% | 708 ‘Mbps 30,000 | 200,000 | 30,000 | 180,000",/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/256/hello.jpg
256,sk7,7GB,auto_candidate,20000,20000,,2025-01-01 12:35:01,케이엘모바일_부성정책_ 1월  1일_ 1차 정책,"결 함 568 | cmuink ress) — | $3,900 | 24200 | 무제한 | 무 져 한 | 300% | 768 |  1Mbps 20,000 20,000",/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/256/sk7.jpg
257,hello,11GB,auto_candidate,30000,70000,,2025-01-02 12:02:37,케이엘모바일_부성정책_ 1월 2일_ 1-1차 정책,"THE 착한 데이터 유심 11GB | 49,390 | 15,400 | 33,990 | 무제한 | 무제한 | 300% | 1168 | 2GB+3Mbps | 30,000 | 70,000 | 30,000 | 70,000",/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/257/hello.jpg
257,hello,7GB,auto_candidate,30000,200000,,2025-01-02 12:02:37,케이엘모바일_부성정책_ 1월 2일_ 1-1차 정책,"DATA 걱 정 없는 유심 768 | 45,100 | 27,600 | 17,500 | 무제한 | SMG) 300% | 708 ‘Mbps 30,000 | 200,000 | 30,000 | 180,000",/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/257/hello.jpg
257,skylife,11GB,auto_candidate,45000,185000,,2025-01-02 12:02:37,케이엘모바일_부성정책_ 1월 2일_ 1-1차 정책,"모 두 충분 1168+( 밀 리 의 서재) | 33.000 | 무제한 | 무제한 | 300 분 |1106+ 일 208 34665 | 45000 | 185,000 | 34500 79,500",/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/257/skylife.jpg
257,skylife,7GB,auto_candidate,45000,160000,,2025-01-02 12:02:37,케이엘모바일_부성정책_ 1월 2일_ 1-1차 정책,"2588 768+( 밀 리 의 서재) | 16200 | 무제한 | 무제한 | 300 분 70 | 71065 | 45,000 | 160,000 | 34500 54,500",/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/257/skylife.jpg
258,hello,11GB,auto_candidate,30000,70000,,2025-01-03 10:26:37,케이엘모바일_부성정책_ 1월 3일_ 1-2차 정책,"THE 착한 데이터 유심 11GB | 49,390 | 15,400 | 33,990 | 무제한 | 무제한 | 3008 | 1168 | 2GB+3Mbps | 30,000 | 70,000 | 30,000 | 70,000",/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/258/hello.jpg
258,hello,7GB,auto_candidate,30000,30000,,2025-01-03 10:26:37,케이엘모바일_부성정책_ 1월 3일_ 1-2차 정책,"DATA 걱 정 없는 유심 768 45,100 | 27,600 | 17,500 | 무제한 | 무제한 | 300% 768 ‘Mbps 30,000 30,000",/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/258/hello.jpg
258,skylife,11GB,auto_candidate,45000,185000,,2025-01-03 10:26:37,케이엘모바일_부성정책_ 1월 3일_ 1-2차 정책,"모 두 충분 1168+( 밀 리 의 서재) | 33.000 | 무제한 | 무제한 | 300 분 |1106+ 일 208 34665 | 45000 | 185,000 | 34500 79,500",/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/258/skylife.jpg
