month,carrier,plan_bucket,avg_new,avg_mnp,max_new,max_mnp,min_new,min_mnp,rows
2025-01,hello,11GB,30000.0,66363.6,30000,70000,30000,30000,11
2025-01,hello,7GB,30000.0,88461.5,30000,200000,30000,30000,13
2025-01,ktm,11GB,101538.5,134615.4,120000,140000,40000,110000,13
2025-01,ktm,7GB,40000.0,103333.3,40000,130000,40000,80000,3
2025-01,sk7,11GB,36363.6,173636.4,50000,220000,20000,140000,11
2025-01,sk7,7GB,45454.5,140909.1,90000,170000,20000,100000,11
2025-01,skylife,11GB,45000.0,185000.0,45000,185000,45000,185000,14
2025-01,skylife,7GB,45000.0,160000.0,45000,160000,45000,160000,14
2025-01,umobile,11GB,42533.3,151933.3,44000,197000,22000,44000,15
2025-01,umobile,7GB,40333.3,138833.3,44000,153000,22000,121000,6
2025-02,hello,11GB,30000.0,113333.3,30000,120000,30000,110000,6
2025-02,hello,7GB,30000.0,130000.0,30000,130000,30000,130000,4
2025-02,ktm,11GB,40000.0,120000.0,40000,120000,40000,120000,6
2025-02,ktm,7GB,40000.0,100000.0,40000,100000,40000,100000,6
2025-02,sk7,11GB,46666.7,143333.3,60000,170000,40000,130000,6
2025-02,sk7,7GB,46666.7,123333.3,60000,150000,40000,110000,6
2025-02,skylife,11GB,45000.0,140000.0,45000,140000,45000,140000,6
2025-02,umobile,11GB,44000.0,146333.3,44000,153000,44000,143000,6
2025-02,umobile,7GB,44000.0,121000.0,44000,121000,44000,121000,2
2025-03,hello,11GB,30000.0,110000.0,30000,110000,30000,110000,9
2025-03,hello,7GB,30000.0,110000.0,30000,110000,30000,110000,2
2025-03,ktm,11GB,36388.9,71111.1,40000,110000,33500,40000,9
2025-03,ktm,7GB,40000.0,90000.0,40000,90000,40000,90000,4
2025-03,sk7,11GB,50000.0,92500.0,50000,120000,50000,50000,4
2025-03,sk7,7GB,50000.0,77500.0,50000,100000,50000,50000,4
2025-03,skylife,11GB,45000.0,115000.0,45000,115000,45000,115000,8
2025-03,skylife,7GB,45000.0,110000.0,45000,110000,45000,110000,8
2025-03,umobile,11GB,55000.0,121000.0,55000,121000,55000,121000,9
